CustomerID,CustomerName,Gender,Age,Country,City,Segment,SignupDate,MarketingOptIn,LoyaltyTier
CUS000001,Customer 1,Male,35,Deutschland,MUNICH,NEW,2022-03-14,Yes,Gold
CUS000002,Customer 2,Female,64,Belgium,Bruges,New,2019-04-12,yes,None
CUS000003,Customer 3,Female,35,République française,Paris,RETURNING,2020-03-03,Yes,Gold
CUS000004,Customer 4,Male,58,Belgium,Antwerp,RETURNING,2023-10-13,Yes,NONE
CUS000005,Customer 5,Female,21,ITALY,Naples,VIP,2023-05-05,Yes,Gold
CUS000006,CUSTOMER 6,Male,35,Belgium,Leuven,New,2019-04-10,No, None
CUS000007,Customer 7,Female,19,Spain,Madrid,New,2024-08-09,Yes, Silver
CUS000008,Customer 8,Female,45,Belgium,Antwerp,Returning,2018-10-11,Yes,Silver
CUS000009,Customer 9,Male,25,Austria,Vienna,Returning,2021-03-19,Yes,Silver
CUS000010,customer 10,Male ,42,Belgium,Brussels,New,2018-05-07,YES,Gold
CUS000011,Customer 11,MALE,61,Spain,Bilbao,VIP,2019-02-01,No,Silver
CUS000012,Customer 12,Female,69,Italy,Milan,New,2020-02-21,Yes,Gold
CUS000013,Customer 13,Male ,74,France,Toulouse,VIP,2020-12-06,Yes,None
CUS000014,Customer 14,Male ,29,BELGIUM,Leuven,New,2023-10-10, No,Gold
CUS000015,Customer 15,female,45,Germany,Cologne,VIP,2018-03-25,yes,Gold
CUS000016,Customer 16,Female,50,Germany,Frankfurt,Returning,2024-02-24,No ,gold
CUS000017,Customer 17,Male,28, Netherlands,Rotterdam,New,2021-12-09,No,Silver
CUS000018,Customer 18,Female,46,Germany,Frankfurt ,Returning,2024-06-10,No,None 
CUS000019,CUSTOMER 19,Male,23,Belgium,Leuven,Returning,2022-04-02,Yes,Gold
CUS000020,Customer 20,Female,33,FRANCE,Nice,new,2021-09-04,yes,Silver
CUS000021,Customer 21,Male,38,DE,Munich,New,2024-08-11,yes,Silver
CUS000022,Customer 22,Male,45,Germany,Berlin,Returning,2019-05-31,Yes,None
CUS000023,Customer 23,Male,70,France,Marseille,New,2020-04-04,No,None
CUS000024,Customer 24,Female,20,Spain,MADRID,New,2021-10-14,yes,Silver
