SpendID,SpendDate,CampaignID,ChannelID,AdSpend,AttributedRevenue,Conversions,AvgOrderValue,CPA,ConversionRate
MKT000000001,2021-07-16,CMP00131,CH04,1487.64,7652.81,43,80.96,34.6,0.0036
MKT000000002,2022-11-27,CMP00028,CH05,1113.92,4713.3,16,66.37,69.62,0.0009
MKT000000004,2022-11-13,CMP00232,CH06,1018.14,6680.13,21,73.1,48.48,0.0049
MKT000000005,2021-02-07,CMP00209,CH04,2940.43,4973.41,26,59.11,113.09,0.0021
MKT000000006,2022-03-23,CMP00008,CH01,5181.64,27548.11,99,64.54,52.34,0.08
MKT000000007,2021-11-26,CMP00039,CH04,2077.86,3688.96,14,73.11,148.42,0.0021
MKT000000012,2021-11-02,CMP00181,CH01,1880.11,6127.28,31,58.17,60.65,0.0023
MKT000000013,2021-01-12,CMP00004,CH05,477.59,5006.43,15,84.91,31.84,0.0044
MKT000000014,2022-12-20,CMP00214,CH03,1227.77,9452.07,70,42.75,17.54,0.0062
MKT000000015,2021-01-13,CMP00219,CH05,1682.29,16505.46,67,95.31,25.11,0.0045
MKT000000017,2022-07-06,CMP00186,CH04,5212.38,24358.27,152,98.36,34.29,0.011
MKT000000022,2021-11-17,CMP00185,CH02,244.45,1567.82,10,60.27,24.45,0.0025
MKT000000023,2022-08-02,CMP00128,CH05,2507.87,16953.33,92,72.52,27.26,0.0063
MKT000000025,2021-06-18,CMP00002,CH04,1667.31,9448.58,49,44.29,34.03,0.0033
MKT000000026,2022-06-01,CMP00192,CH01,4913.76,12861.14,51,98.45,96.35,0.0052
MKT000000027,2021-10-14,CMP00087,CH06,1283.28,3785.9,13,73.96,98.71,0.001
MKT000000028,2021-07-15,CMP00218,CH01,1597.99,5355.28,19,96.88,84.1,0.0012
MKT000000029,2021-06-25,CMP00017,CH04,1092.02,4250.94,18,66.96,60.67,0.004
MKT000000035,2022-02-05,CMP00101,CH05,480.23,3376.56,10,41.67,48.02,0.0006
MKT000000037,2021-02-05,CMP00222,CH06,226.71,582.03,2,98.1,113.36,0.0007
MKT000000039,2021-07-11,CMP00222,CH06,220.38,987.7,3,93.64,73.46,0.0003
MKT000000040,2022-11-29,CMP00109,CH05,1470.41,4714.27,25,79.56,58.82,0.0018
MKT000000042,2021-03-25,CMP00013,CH06,1235.53,4059.26,20,91.68,61.78,0.0011
MKT000000043,2022-03-04,CMP00263,CH04,743.07,3274.57,24,120.8,30.96,0.004
MKT000000046,2021-03-13,CMP00126,CH02,207.74,3258.63,25,89.67,8.31,0.0041
MKT000000049,2021-04-25,CMP00082,CH06,1103.8,3248.19,19,100.68,58.09,0.0016
MKT000000051,2022-09-10,CMP00143,CH04,2014.27,8755.35,63,70.86,31.97,0.008
MKT000000052,2022-12-15,CMP00139,CH03,166.97,1417.38,9,64.76,18.55,0.0006
MKT000000053,2022-05-09,CMP00234,CH02,80.0,447.98,0,83.17,80.0,0.0001
MKT000000054,2022-11-05,CMP00162,CH01,6539.81,22665.29,149,83.76,43.89,0.0342
MKT000000055,2021-12-07,CMP00168,CH01,1186.87,5030.41,20,70.8,59.34,0.0022
MKT000000056,2021-12-10,CMP00267,CH05,1994.92,8819.75,38,70.15,52.5,0.0198
