SpendID,SpendDate,CampaignID,ChannelID,AdSpend,AttributedRevenue,Conversions,AvgOrderValue,CPA,ConversionRate
MKT000000008,2023-01-09,CMP00272,CH05,464.39,2051.27,13,87.45,35.72,0.0011
MKT000000016,2023-10-02,CMP00101,CH05,593.39,3536.94,9,105.8,65.93,0.0009
MKT000000019,2023-05-27,CMP00133,CH03,333.07,1050.81,5,62.76,66.61,0.0005
MKT000000020,2023-04-22,CMP00274,CH01,1107.21,8661.44,46,67.91,24.07,0.0033
MKT000000021,2023-06-23,CMP00057,CH05,780.22,3497.49,20,58.4,39.01,0.0021
MKT000000032,2023-04-22,CMP00178,CH01,2417.43,21760.09,83,100.75,29.13,0.0511
MKT000000033,2023-11-03,CMP00263,CH04,1242.58,5903.4,16,101.36,77.66,0.0019
MKT000000036,2023-11-03,CMP00241,CH05,3075.08,7350.8,24,86.19,128.13,0.0014
MKT000000038,2023-10-04,CMP00139,CH03,444.98,2201.72,12,96.47,37.08,0.0015
MKT000000045,2023-02-09,CMP00034,CH04,930.9,5952.58,28,58.05,33.25,0.0018
MKT000000047,2023-10-19,CMP00086,CH03,170.04,2412.69,18,99.39,9.45,0.0011
MKT000000058,2023-01-15,CMP00265,CH01,3100.13,6547.22,31,73.63,100.0,0.0134
MKT000000059,2023-01-19,CMP00069,CH03,782.28,6320.14,39,55.39,20.06,0.0074
MKT000000061,2023-01-30,CMP00110,CH06,870.59,3181.07,15,102.21,58.04,0.0009
MKT000000065,2023-12-19,CMP00208,CH01,1050.37,4354.1,20,97.67,52.52,0.0021
MKT000000070,2023-11-20,CMP00021,CH01,2203.0,6618.16,28,105.47,78.68,0.0102
MKT000000072,2023-03-20,CMP00131,CH04,1750.76,5209.72,22,85.75,79.58,0.0031
MKT000000078,2023-12-17,CMP00141,CH05,1674.45,5525.55,23,47.06,72.8,0.0017
MKT000000079,2023-06-06,CMP00228,CH01,1276.7,10977.08,58,85.51,22.01,0.0039
MKT000000094,2023-11-12,CMP00215,CH04,4407.73,13280.61,36,90.72,122.44,0.005
MKT000000107,2023-12-16,CMP00189,CH01,1984.6,13753.92,46,107.56,43.14,0.0029
MKT000000108,2023-08-07,CMP00206,CH04,1913.92,10062.74,41,55.53,46.68,0.0033
MKT000000112,2023-04-14,CMP00003,CH03,284.7,1882.59,14,114.49,20.34,0.0011
MKT000000114,2023-01-19,CMP00177,CH04,629.9,2227.73,14,102.24,44.99,0.0013
MKT000000115,2023-11-02,CMP00146,CH01,874.95,4231.75,20,109.3,43.75,0.0023
MKT000000120,2023-08-06,CMP00271,CH03,406.12,3222.64,21,104.56,19.34,0.0029
MKT000000121,2023-11-26,CMP00198,CH04,2662.45,7822.34,40,51.36,66.56,0.0085
MKT000000126,2023-01-29,CMP00217,CH01,1563.21,15359.22,50,90.55,31.26,0.0029
MKT000000130,2023-11-25,CMP00065,CH03,671.71,6997.4,34,38.03,19.76,0.0031
MKT000000131,2023-09-02,CMP00169,CH03,465.74,3732.2,28,58.08,16.63,0.0049
MKT000000132,2023-12-01,CMP00227,CH05,1854.65,13565.15,69,120.08,26.88,0.0076
MKT000000134,2023-12-21,CMP00142,CH06,781.58,3373.68,10,104.44,78.16,0.0026
MKT000000135,2023-09-10,CMP00126,CH02,272.48,2970.07,11,84.71,24.77,0.0013
MKT000000137,2023-11-03,CMP00256,CH06,4967.81,7771.82,35,77.85,141.94,0.0027
MKT000000147,2023-04-24,CMP00098,CH03,562.32,4600.48,34,126.27,16.54,0.0021
MKT000000149,2023-12-25,CMP00032,CH04,704.46,1574.82,12,103.1,58.71,0.0014
MKT000000152,2023-03-28,CMP00164,CH06,541.5,2780.98,15,90.73,36.1,0.0009
MKT000000154,2023-07-12,CMP00185,CH02,122.78,923.65,0,74.07,122.78,0.0001
MKT000000157,2023-04-11,CMP00152,CH01,1045.44,3619.83,12,110.23,87.12,0.0007
MKT000000159,2023-04-16,CMP00237,CH01,4596.99,29231.35,102,84.12,45.07,0.0443
MKT000000163,2023-12-18,CMP00273,CH05,1731.37,17763.53,75,65.15,23.08,0.0305
MKT000000164,2023-03-30,CMP00076,CH02,95.11,909.47,5,80.98,19.02,0.0005
MKT000000165,2023-09-22,CMP00230,CH01,679.69,3490.66,18,80.04,37.76,0.0036
MKT000000166,2023-12-25,CMP00263,CH04,2030.29,8647.99,29,72.49,70.01,0.0217
MKT000000171,2023-12-23,CMP00165,CH01,1437.13,5222.16,32,121.14,44.91,0.0031
MKT000000176,2023-07-18,CMP00223,CH04,1438.82,9664.33,36,101.42,39.97,0.0025
MKT000000181,2023-11-08,CMP00008,CH01,1916.15,8346.0,39,91.13,49.13,0.0074
MKT000000197,2023-11-08,CMP00214,CH03,693.64,11381.26,79,90.14,8.78,0.0119
MKT000000200,2023-04-20,CMP00138,CH04,1634.98,4583.83,18,73.99,90.83,0.0021
MKT000000201,2023-02-28,CMP00210,CH06,513.27,2410.77,9,96.75,57.03,0.0005
MKT000000209,2023-11-12,CMP00248,CH01,1534.48,5259.46,21,90.47,73.07,0.0025
MKT000000211,2023-05-31,CMP00204,CH04,5785.97,23047.19,76,80.58,76.13,0.0153
MKT000000212,2023-05-16,CMP00127,CH03,605.59,3700.72,27,67.97,22.43,0.018
MKT000000214,2023-04-06,CMP00047,CH05,369.25,2459.86,14,83.23,26.37,0.0008
MKT000000219,2023-08-02,CMP00151,CH01,3457.52,16310.7,60,55.5,57.63,0.0246
MKT000000220,2023-03-04,CMP00035,CH01,4136.58,6134.78,30,66.38,137.89,0.0032
MKT000000221,2023-06-28,CMP00200,CH03,2131.13,8705.32,61,54.5,34.94,0.0042
MKT000000222,2023-06-27,CMP00138,CH04,5537.66,11467.53,46,86.17,120.38,0.0054
MKT000000232,2023-10-27,CMP00131,CH04,1397.85,6800.62,27,73.27,51.77,0.0023
MKT000000236,2023-08-29,CMP00278,CH01,1874.2,13438.43,57,90.41,32.88,0.0035
MKT000000238,2023-07-07,CMP00237,CH01,812.38,5042.77,18,101.59,45.13,0.0095
MKT000000239,2023-03-30,CMP00255,CH03,890.9,5092.02,49,77.81,18.18,0.01
MKT000000243,2023-01-06,CMP00168,CH01,947.29,10025.59,52,68.16,18.22,0.0274
MKT000000245,2023-02-27,CMP00268,CH01,664.69,4545.57,18,91.07,36.93,0.0015
MKT000000253,2023-12-28,CMP00028,CH05,2575.3,9968.11,37,91.73,69.6,0.0151
MKT000000254,2023-01-06,CMP00008,CH01,1432.76,12505.16,61,87.9,23.49,0.0042
MKT000000265,2023-02-13,CMP00274,CH01,778.58,5126.06,24,64.03,32.44,0.0018
MKT000000269,2023-09-07,CMP00214,CH03,766.64,7330.74,61,75.88,12.57,0.0061
MKT000000274,2023-05-13,CMP00110,CH06,853.69,1975.62,5,76.09,170.74,0.0003
MKT000000283,2023-07-12,CMP00200,CH03,2658.68,36992.25,233,82.76,11.41,0.0319
MKT000000288,2023-06-04,CMP00155,CH03,545.43,3198.43,20,64.18,27.27,0.0174
MKT000000290,2023-04-20,CMP00107,CH05,909.43,7199.95,50,70.34,18.19,0.0031
MKT000000293,2023-08-14,CMP00276,CH05,1797.3,8734.51,35,102.64,51.35,0.0025
MKT000000297,2023-05-02,CMP00055,CH03,960.32,7228.37,39,84.39,24.62,0.0027
MKT000000301,2023-03-25,CMP00126,CH02,120.44,805.62,4,101.0,30.11,0.0003
MKT000000305,2023-07-29,CMP00042,CH04,3846.3,23463.31,109,90.84,35.29,0.0495
MKT000000309,2023-09-01,CMP00088,CH01,5731.24,15550.13,64,118.07,89.55,0.0042
MKT000000311,2023-11-30,CMP00224,CH02,143.31,1666.98,5,77.32,28.66,0.0004
MKT000000314,2023-05-09,CMP00169,CH03,2717.02,13961.02,114,104.77,23.83,0.0441
MKT000000325,2023-12-18,CMP00242,CH06,2199.17,7349.5,19,110.75,115.75,0.0011
MKT000000326,2023-05-04,CMP00082,CH06,1964.58,2510.91,13,130.48,151.12,0.0017
MKT000000329,2023-11-14,CMP00231,CH01,6753.84,31175.73,114,116.55,59.24,0.08
MKT000000337,2023-11-27,CMP00063,CH02,164.38,279.62,0,103.79,164.38,0.0001
MKT000000340,2023-11-21,CMP00273,CH05,1114.49,7965.61,53,86.11,21.03,0.0038
MKT000000348,2023-06-04,CMP00261,CH03,311.61,3923.73,26,78.03,11.99,0.0042
MKT000000350,2023-12-10,CMP00090,CH03,2229.12,25684.3,162,92.97,13.76,0.0712
MKT000000351,2023-04-21,CMP00204,CH04,5802.9,30126.3,137,87.18,42.36,0.0105
MKT000000354,2023-01-23,CMP00028,CH05,1153.56,2960.66,23,107.84,50.15,0.0013
