SpendID,CampaignDate,CampaignID,ChannelID,Ad_Spend,AttributedRevenue,Conversions,AvgOrderValue,CPA,CVR
MKT000000003,25/04/2024,CMP00107,CH05,811.62,6611.11,32,63.53,25.36,0.002
MKT000000009,16/02/2024,CMP00062,CH02,191.58,1590.64,8,72.47,23.95,0.0008
MKT000000010,22/09/2024,CMP00105,CH01,353.23,2629.51,9,74.14,39.25,0.0006
MKT000000011,16/12/2024,CMP00079,CH04,1256.87,7758.32,48,96.4,26.18,0.0034
MKT000000018,21/05/2024,CMP00154,CH01,1947.33,8693.12,36,84.93,54.09,0.0057
MKT000000024,02/11/2024,CMP00137,CH03,207.13,1629.93,4,91.3,51.78,0.0025
MKT000000030,13/11/2024,CMP00204,CH04,1234.93,10485.23,29,76.78,42.58,0.0035
MKT000000031,23/11/2024,CMP00014,CH03,585.55,3427.45,33,113.58,17.74,0.0266
MKT000000034,25/04/2024,CMP00246,CH03,2365.06,3612.15,16,94.6,147.82,0.0018
MKT000000041,24/04/2024,CMP00109,CH05,1121.61,13574.39,68,86.9,16.49,0.0055
MKT000000044,22/04/2024,CMP00140,CH01,835.41,6182.72,33,92.15,25.32,0.0019
MKT000000048,25/03/2024,CMP00110,CH06,678.8,1700.19,6,91.83,113.13,0.0009
MKT000000050,24/09/2024,CMP00100,CH01,1328.26,8574.99,26,95.86,51.09,0.0225
MKT000000057,26/11/2024,CMP00271,CH03,551.26,3712.75,27,72.86,20.42,0.0016
MKT000000064,17/10/2024,CMP00240,CH03,784.18,7398.14,51,118.66,15.38,0.0149
MKT000000066,03/05/2024,CMP00212,CH01,1424.91,7429.22,46,82.28,30.98,0.0041
MKT000000071,11/05/2024,CMP00140,CH01,859.35,3338.78,21,78.94,40.92,0.002
MKT000000073,21/10/2024,CMP00020,CH04,1143.56,2901.7,13,101.26,87.97,0.0092
MKT000000074,27/09/2024,CMP00163,CH04,781.94,3140.72,12,121.86,65.16,0.0014
MKT000000084,13/06/2024,CMP00253,CH02,232.35,4570.14,24,71.47,9.68,0.0049
MKT000000085,06/03/2024,CMP00096,CH03,1418.41,8557.16,58,83.07,24.46,0.0033
MKT000000088,09/04/2024,CMP00248,CH01,2157.84,14512.14,45,102.38,47.95,0.0035
MKT000000091,10/12/2024,CMP00171,CH04,493.34,881.7,5,128.48,98.67,0.0004
MKT000000095,24/04/2024,CMP00014,CH03,753.85,6382.48,49,80.46,15.38,0.0074
MKT000000099,09/07/2024,CMP00249,CH02,192.56,331.96,0,63.6,192.56,0.0001
MKT000000104,17/05/2024,CMP00160,CH01,1716.29,4106.84,10,70.11,171.63,0.0007
MKT000000105,18/05/2024,CMP00068,CH01,"1696,04",6903.42,28,100.94,60.57,0.0037
MKT000000109,11/01/2024,CMP00272,CH05,1321.69,5596.93,30,80.14,44.06,0.0115
MKT000000111,28/12/2024,CMP00078,CH01,1045.96,2130.06,6,89.26,174.33,0.0014
MKT000000116,17/11/2024,CMP00261,CH03,349.12,2672.09,25,93.65,13.96,0.004
MKT000000117,20/10/2024,CMP00258,CH03,634.88,4785.04,38,119.94,16.71,0.009
MKT000000119,26/07/2024,CMP00232,CH06,978.32,172.37,1,71.85,978.32,0.0001
MKT000000122,10/07/2024,CMP00146,CH01,3634.96,7581.36,40,72.9,90.87,0.0036
MKT000000124,13/07/2024,CMP00268,CH01,332.22,1991.27,12,102.98,27.69,0.002
MKT000000128,26/10/2024,CMP00247,CH04,113.95,520.58,2,88.74,56.97,0.0013
MKT000000129,06/08/2024,CMP00024,CH04,2599.41,14082.23,66,83.37,39.38,0.0082
MKT000000136,25/10/2024,CMP00157,CH01,3135.13,17771.24,66,82.74,47.5,0.0057
MKT000000141,22/11/2024,CMP00062,CH02,886.83,8367.85,39,93.79,22.74,0.0049
MKT000000145,14/06/2024,CMP00243,CH03,483.36,3169.55,14,75.87,34.53,0.0015
MKT000000148,21/05/2024,CMP00052,CH04,"1402,15",7923.99,40,76.99,35.05,0.0028
MKT000000150,14/09/2024,CMP00039,CH04,"580,78",5910.38,35,65.87,16.59,0.0048
MKT000000151,02/09/2024,CMP00007,CH03,589.62,2786.76,22,94.15,26.8,0.0018
MKT000000155,08/11/2024,CMP00133,CH03,908.96,4150.44,22,111.69,41.32,0.0042
MKT000000160,22/07/2024,CMP00029,CH01,"1837,13",12055.77,48,75.32,38.27,0.0112
MKT000000167,16/07/2024,CMP00172,CH03,2436.93,24024.34,168,76.43,14.51,0.0094
MKT000000168,09/06/2024,CMP00132,CH04,1089.16,2827.18,8,74.67,136.15,0.0005
MKT000000173,04/03/2024,CMP00053,CH04,672.76,1734.51,4,93.65,168.19,0.0005
MKT000000174,30/10/2024,CMP00168,CH01,685.65,4036.61,15,113.27,45.71,0.0106
MKT000000177,30/07/2024,CMP00162,CH01,635.06,4286.05,9,66.53,70.56,0.001
MKT000000178,27/06/2024,CMP00031,CH03,898.88,7528.81,59,121.64,15.24,0.0425
MKT000000179,25/01/2024,CMP00015,CH02,413.81,6307.35,25,73.42,16.55,0.002
MKT000000180,21/05/2024,CMP00170,CH02,160.81,1542.54,9,95.06,17.87,0.0008
MKT000000185,14/02/2024,CMP00274,CH01,576.73,2994.22,13,74.33,44.36,0.0009
MKT000000189,27/01/2024,CMP00108,CH01,"1098,17",3164.57,14,77.38,78.44,0.0032
MKT000000190,16/04/2024,CMP00061,CH01,2180.56,3619.78,16,96.41,136.28,0.0019
MKT000000192,22/02/2024,CMP00167,CH03,1019.9,9944.39,79,55.54,12.91,0.0054
MKT000000193,04/08/2024,CMP00174,CH05,1764.57,11643.54,69,98.95,25.57,0.0128
MKT000000194,10/07/2024,CMP00204,CH04,575.44,3464.58,16,93.35,35.97,0.0103
MKT000000196,06/09/2024,CMP00116,CH04,383.93,2650.62,13,111.74,29.53,0.001
MKT000000199,28/02/2024,CMP00102,CH02,134.61,461.84,2,68.83,67.31,0.0002
MKT000000202,11/10/2024,CMP00254,CH01,1353.3,7592.87,30,73.77,45.11,0.0029
MKT000000203,18/04/2024,CMP00209,CH04,1038.83,2372.35,15,97.12,69.26,0.0066
MKT000000204,28/05/2024,CMP00218,CH01,"537,63",2942.15,17,88.08,31.63,0.0013
MKT000000213,13/11/2024,CMP00066,CH04,1641.11,10056.1,48,70.88,34.19,0.0087
MKT000000215,04/06/2024,CMP00073,CH01,3371.57,13023.54,79,121.0,42.68,0.0045
MKT000000217,10/01/2024,CMP00016,CH01,644.93,2614.17,11,111.63,58.63,0.0055
MKT000000227,18/09/2024,CMP00258,CH03,336.02,1883.86,15,95.91,22.4,0.0014
MKT000000228,19/08/2024,CMP00230,CH01,2551.91,16208.51,63,82.08,40.51,0.0219
MKT000000234,12/07/2024,CMP00056,CH04,2853.4,4015.37,11,86.96,259.4,0.0019
MKT000000235,17/02/2024,CMP00055,CH03,94.18,1378.22,10,90.99,9.42,0.0012
MKT000000237,06/12/2024,CMP00214,CH03,268.77,4215.81,24,84.18,11.2,0.0042
MKT000000242,28/03/2024,CMP00003,CH03,1073.04,12664.7,135,103.75,7.95,0.08
MKT000000250,13/01/2024,CMP00021,CH01,1511.4,4835.24,18,102.75,83.97,0.002
MKT000000255,17/09/2024,CMP00252,CH04,434.79,3349.14,18,95.06,24.15,0.0023
MKT000000259,17/05/2024,CMP00195,CH05,990.89,3126.38,8,84.64,123.86,0.0007
MKT000000262,23/04/2024,CMP00214,CH03,348.35,1588.63,8,52.61,43.54,0.0006
MKT000000263,05/07/2024,CMP00256,CH06,2003.69,4472.88,13,84.94,154.13,0.0011
MKT000000270,09/03/2024,CMP00103,CH05,2967.92,27673.67,182,84.15,16.31,0.0102
MKT000000271,22/06/2024,CMP00037,CH05,195.82,1298.32,4,90.13,48.95,0.0003
MKT000000277,02/03/2024,CMP00151,CH01,2182.22,5351.77,25,51.03,87.29,0.0034
MKT000000280,23/10/2024,CMP00151,CH01,1267.29,7723.48,57,92.37,22.23,0.0144
MKT000000281,21/06/2024,CMP00127,CH03,653.58,3117.6,22,87.35,29.71,0.0043
MKT000000282,10/03/2024,CMP00187,CH04,"1036,31",3441.05,12,86.43,86.36,0.0024
MKT000000287,12/11/2024,CMP00193,CH01,1965.78,8596.88,59,95.16,33.32,0.006
MKT000000294,19/07/2024,CMP00244,CH03,459.08,4675.45,32,78.9,14.35,0.0019
MKT000000300,20/05/2024,CMP00102,CH02,573.17,4691.32,17,60.1,33.72,0.0013
MKT000000302,07/09/2024,CMP00208,CH01,7572.76,17082.22,95,77.38,79.71,0.0186
MKT000000306,03/12/2024,CMP00099,CH02,219.19,2129.32,8,87.31,27.4,0.0006
MKT000000310,04/08/2024,CMP00013,CH06,2579.17,9199.69,34,101.06,75.86,0.0106
MKT000000313,21/08/2024,CMP00092,CH02,214.93,3131.58,18,99.91,11.94,0.0012
MKT000000318,24/11/2024,CMP00050,CH01,328.7,1773.25,13,99.92,25.28,0.0013
MKT000000321,11/06/2024,CMP00259,CH02,111.21,871.7,3,99.11,37.07,0.0007
MKT000000322,14/08/2024,CMP00195,CH05,2688.23,14875.18,78,83.72,34.46,0.0068
MKT000000328,26/07/2024,CMP00010,CH01,1853.93,3920.07,11,96.71,168.54,0.0015
MKT000000333,12/08/2024,CMP00082,CH06,2311.4,7679.45,33,86.72,70.04,0.0043
MKT000000336,14/01/2024,CMP00149,CH01,1675.52,9035.29,47,105.95,35.65,0.0279
MKT000000338,28/02/2024,CMP00225,CH02,106.57,761.4,1,57.54,106.57,0.0001
MKT000000339,21/04/2024,CMP00264,CH01,928.19,4454.92,14,111.26,66.3,0.001
MKT000000343,11/10/2024,CMP00038,CH01,803.8,4469.69,17,112.56,47.28,0.0068
MKT000000366,11/12/2024,CMP00060,CH02,294.33,4516.34,23,95.56,12.8,0.0034
MKT000000372,13/12/2024,CMP00208,CH01,1577.22,12159.94,34,103.81,46.39,0.0024
MKT000000375,11/11/2024,CMP00081,CH03,350.4,3898.33,25,96.83,14.02,0.0042
MKT000000379,22/02/2024,CMP00143,CH04,3453.41,7056.33,15,120.76,230.23,0.0024
MKT000000385,06/11/2024,CMP00142,CH06,741.42,1197.51,8,66.55,92.68,0.0028
MKT000000388,02/06/2024,CMP00061,CH01,421.87,1141.38,4,55.0,105.47,0.0013
MKT000000393,16/12/2024,CMP00247,CH04,1178.94,5662.41,20,91.33,58.95,0.0015
MKT000000398,22/08/2024,CMP00086,CH03,296.32,3818.14,26,128.48,11.4,0.0018
MKT000000401,20/01/2024,CMP00255,CH03,673.2,5050.67,43,103.26,15.66,0.0029
MKT000000405,30/03/2024,CMP00072,CH04,749.71,1391.91,9,73.96,83.3,0.0005
MKT000000409,29/03/2024,CMP00065,CH03,155.2,1004.84,9,101.61,17.24,0.0007
MKT000000411,11/08/2024,CMP00219,CH05,537.3,2548.11,5,90.41,107.46,0.0019
MKT000000415,22/04/2024,CMP00196,CH03,225.76,2050.34,20,57.42,11.29,0.0024
MKT000000421,16/05/2024,CMP00273,CH05,1108.04,6226.99,31,98.15,35.74,0.0035
MKT000000422,19/03/2024,CMP00109,CH05,2343.44,12170.76,59,102.89,39.72,0.0042
