OrderID,OrderDate,CustomerID,ProductID,SellerID,ChannelID,Quantity,GrossRevenue,DiscountAmount,NetRevenue,CostOfGoodsSold,PlatformFee,PaymentProcessingFee,ShippingFeeCharged,SellerPayout,PaymentMethod,FulfillmentType,ShippingMethod,DeliveryDays,OnTimeDeliveryFlag,OrderStatus,ReturnFlag,RefundAmount
ORD0000000002,2022-04-25,CUS006026,PRO00134,SEL00071,CH01,1,84.26,2.04,82.22,52.33,13.76,1.44,5.99,73.01,Card,Platform-Fulfilled,Standard,4.7,1,Completed,0,0.0
ORD0000000005,2021-06-30,CUS003461,PRO00164,SEL00131,CH03,1,76.97,7.44,69.53,48.62,4.46,1.01,3.99,68.05,BNPL,Platform-Fulfilled,Express,4.1,0,Returned,0,0.0
ORD0000000008,2022-05-20,CUS001272,PRO00323,SEL00050,CH05,1,156.59,33.72,122.87,83.45,21.78,0.75,0.0,100.34,PayPal,Seller-Fulfilled,Express,2.5,1,Completed,0,0.0
ORD0000000009,2021-12-23,CUS003122,PRO00579,SEL00207,CH04,2,87.1,13.85,73.25,56.99,0.92,1.18,5.99,77.14,Card,Platform-Fulfilled,Standard,2.3,1,Completed,0,0.0
ORD0000000016,2022-03-07,CUS004407,PRO00391,SEL00034,CH04,2,23.72,4.52,19.2,11.86,0.11,0.33,0.0,18.76,Card,Seller-Fulfilled,Express,2.8,1,Completed,0,0.0
ORD0000000018,2021-07-17,CUS000649,PRO00051,SEL00180,CH04,1,39.8,4.31,35.49,24.57,0.7,0.33,3.99,38.45,Card,Platform-Fulfilled,Standard,7.0,0,Completed,0,0.0
ORD0000000019,2021-08-13,CUS002007,PRO00144,SEL00058,CH04,1,67.47,13.88,53.59,40.73,5.66,0.68,0.0,47.25,BNPL,Seller-Fulfilled,Express,2.9,1,Completed,0,0.0
ORD0000000020,2021-06-23,CUS004893,PRO00086,SEL00196,CH05,1,21.89,3.25,18.64,10.6,2.5,0.14,0.0,16.0,Card,Platform-Fulfilled,Standard,4.4,1,Completed,0,0.0
ORD0000000021,2021-11-07,CUS002137,PRO00720,SEL00117,CH02,3,62.55,17.83,44.72,34.78,0.78,0.68,2.99,46.25,PayPal,Seller-Fulfilled,Standard,1.9,1,Completed,0,0.0
ORD0000000024,2021-01-19,CUS000756,PRO00419,SEL00159,CH06,4,59.6,3.44,56.16,32.35,6.67,0.46,0.0,49.03,BNPL,Seller-Fulfilled,Express,2.3,1,Completed,0,0.0
ORD0000000025,2022-02-07,CUS006174,PRO00698,SEL00076,CH01,1,6.34,0.86,5.48,3.65,0.97,0.06,2.99,7.44,Card,Seller-Fulfilled,Standard,4.6,1,Completed,0,0.0
ORD0000000030,2022-11-03,CUS004786,PRO00025,SEL00026,CH03,2,30.64,3.77,26.87,18.5,3.82,0.29,2.99,25.75,PayPal,Seller-Fulfilled,Express,4.5,0,Returned,1,16.56
ORD0000000031,2022-04-07,CUS001669,PRO00358,SEL00413,CH01,2,13.34,2.83,10.51,6.99,0.89,0.09,0.0,9.53,PayPal,Seller-Fulfilled,Standard,4.9,1,Completed,0,0.0
ORD0000000033,2022-12-02,CUS001145,PRO00044,SEL00188,CH02,1,9.63,0.71,8.92,6.24,0.93,0.08,0.0,7.91,Card,Seller-Fulfilled,Standard,4.1,1,Completed,0,0.0
ORD0000000034,2022-07-27,CUS000990,PRO00155,SEL00067,CH06,1,9.71,1.95,7.76,6.24,0.9,0.08,2.99,9.77,PayPal,Platform-Fulfilled,Standard,3.3,1,Cancelled,0,0.0
ORD0000000035,2021-09-14,CUS001640,PRO00287,SEL00066,CH01,1,63.67,11.94,51.73,32.7,8.09,0.73,2.99,45.9,Card,Seller-Fulfilled,Standard,4.7,1,Completed,0,0.0
ORD0000000039,2022-04-11,CUS003959,PRO00792,SEL00242,CH03,1,6.12,0.51,5.61,3.55,0.37,0.09,2.99,8.14,PayPal,Platform-Fulfilled,Express,2.7,1,Returned,0,0.0
ORD0000000041,2022-12-26,CUS006326,PRO00602,SEL00230,CH02,1,14.58,2.86,11.72,7.29,2.1,0.2,0.0,9.42,PayPal,Seller-Fulfilled,Pickup Point,2.5,1,Returned,1,9.34
ORD0000000042,2021-03-24,CUS004761,PRO00068,SEL00153,CH05,1,58.22,1.42,56.8,43.95,7.05,0.65,0.0,49.1,Card,Platform-Fulfilled,Express,1.9,1,Completed,0,0.0
ORD0000000044,2021-07-29,CUS006351,PRO00431,SEL00271,CH01,2,83.18,10.3,72.88,47.75,0.43,0.75,0.0,71.7,PayPal,Platform-Fulfilled,Pickup Point,4.2,1,Completed,0,0.0
ORD0000000046,2022-08-01,CUS001426,PRO00906,SEL00023,CH02,4,314.04,20.42,293.62,170.01,22.73,3.34,0.0,267.55,Card,Seller-Fulfilled,Standard,2.7,1,Completed,0,0.0
ORD0000000049,2022-12-19,CUS000246,PRO00150,SEL00074,CH02,1,61.04,4.67,56.37,35.45,7.47,0.95,0.0,47.95,Card,Seller-Fulfilled,Standard,3.6,1,Cancelled,0,0.0
ORD0000000052,2022-03-23,CUS006544,PRO00760,SEL00248,CH01,2,100.42,12.31,88.11,51.52,12.97,1.52,0.0,73.62,Card,Seller-Fulfilled,Standard,4.9,1,Completed,0,0.0
ORD0000000054,2022-06-05,CUS005708,PRO00770,SEL00356,CH04,1,25.7,0.01,25.69,19.01,2.41,0.36,2.99,25.91,Card,Seller-Fulfilled,Standard,5.4,1,Completed,0,0.0
ORD0000000055,2021-12-07,CUS007028,PRO00583,SEL00035,CH04,1,22.49,3.71,18.78,13.15,2.88,0.24,0.0,15.66,PayPal,Platform-Fulfilled,Pickup Point,3.3,1,Completed,0,0.0
