OrderID,OrderDate,CustomerID,ProductID,SellerID,ChannelID,Quantity,GrossRevenue,DiscountAmount,NetRevenue,CostOfGoodsSold,PlatformFee,PaymentProcessingFee,ShippingFeeCharged,SellerPayout,PaymentMethod,FulfillmentType,ShippingMethod,DeliveryDays,OnTimeDeliveryFlag,OrderStatus,ReturnFlag,RefundAmount
ORD0000000001,2023-09-01,CUS004019,PRO00108,SEL00317,CH06,1,12.47,1.55,10.92,7.42,1.04,0.13,5.99,15.74,BNPL,Seller-Fulfilled,Express,3.6,0,Completed,0,0.0
ORD0000000004,2023-04-24,CUS003165,PRO00570,SEL00318,CH02,1,5.05,0.6,4.45,3.33,0.53,0.08,3.99,7.83,Bank Transfer,Seller-Fulfilled,Standard,7.6,0,Completed,0,0.0
ORD0000000006,2023-12-15,CUS002855,PRO00302,SEL00074,CH03,1,17.98,2.18,15.8,11.63,2.09,0.17,0.0,13.54,BNPL,Platform-Fulfilled,Standard,4.5,1,Completed,0,0.0
ORD0000000007,2023-11-03,CUS002043,PRO00399,SEL00212,CH01,3,145.44,42.4,103.04,60.42,12.63,1.72,3.99,92.68,Card,Platform-Fulfilled,Standard,4.2,1,Completed,0,0.0
ORD0000000011,2023-11-19,CUS003560,PRO00917,SEL00104,CH02,1,6.71,0.71,6.0,4.48,0.69,0.08,0.0,5.23,PayPal,Seller-Fulfilled,Standard,4.1,1,Completed,0,0.0
ORD0000000013,2023-12-19,CUS004258,PRO00572,SEL00234,CH01,1,18.06,2.45,15.61,11.95,2.54,0.16,3.99,16.9,Bank Transfer,Seller-Fulfilled,Standard,5.7,1,Completed,0,0.0
ORD0000000022,2023-10-20,CUS005278,PRO00296,SEL00356,CH02,1,12.24,1.69,10.55,7.43,0.99,0.15,2.99,12.4,Cash on Delivery,Platform-Fulfilled,Standard,5.4,1,Completed,0,0.0
ORD0000000023,2023-05-22,CUS006552,PRO00980,SEL00268,CH06,1,65.53,1.25,64.28,48.48,1.25,1.11,2.99,64.91,PayPal,Seller-Fulfilled,Standard,6.2,0,Completed,0,0.0
ORD0000000026,2023-12-29,CUS000200,PRO00852,SEL00345,CH02,1,14.41,4.14,10.27,6.4,1.7,0.1,3.99,12.46,BNPL,Platform-Fulfilled,Standard,4.6,1,Completed,0,0.0
ORD0000000027,2023-05-05,CUS006802,PRO00351,SEL00131,CH01,3,35.88,6.27,29.61,22.79,1.9,0.3,2.99,30.4,Cash on Delivery,Seller-Fulfilled,Standard,4.9,1,Returned,0,0.0
