OrderID,PurchaseDate,CustomerID,ProductID,SellerID,ChannelID,Quantity,GrossRevenue,DiscountAmount,Net_Revenue,COGS,PlatformFee,PaymentProcessingFee,ShippingFeeCharged,SellerPayout,PaymentMethod,FulfillmentType,ShippingMethod,DeliveryDays,OnTime_Flag,OrderStatus,Return_Flag,Refund_Amount
ORD0000000003,2024-10-30,CUS003997,PRO00217,SEL00383,CH01,3,22.89,2.37,20.52,12.36,2.98,0.24,3.99,21.29,Card,Seller-Fulfilled,Standard,2.2,1,Completed,0,0.0
ORD0000000010,2024-04-25,CUS004408,PRO00968,SEL00120,CH01,1,133.2,21.12,112.08,65.73,8.71,1.64,0.0,"101,73",PayPal,Seller-Fulfilled,Standard,5.1,1,Completed,0,0.0
ORD0000000012,2024-03-09,CUS004578,PRO00193,SEL00309,CH01,4,39.88,2.64,37.24,23.51,0.16,0.32,2.99,39.75,Card,Platform-Fulfilled,Pickup Point,1.6,1,Returned,1,36.48
ORD0000000014,2024-06-30,CUS003616,PRO00660,SEL00328,CH05,1,50.95,6.6,44.35,31.52,"3,31",0.57,3.99,44.46,Card,Platform-Fulfilled,Pickup Point,3.9,1,Completed,0,0.0
ORD0000000015,2024-05-13,CUS005299,PRO00349,SEL00180,CH04,1,71.69,10.33,61.36,42.35,1.2,0.59,2.99,62.56,BNPL,Platform-Fulfilled,Standard,3.4,1,Completed,0,0.0
ORD0000000017,2024-10-09,CUS003185,PRO00221,SEL00091,CH03,4,273.44,36.99,236.45,171.28,34.66,2.28,0.0,199.51,Card,Seller-Fulfilled,Standard,3.1,1,Completed,0,0.0
ORD0000000028,2024-01-24,CUS003877,PRO00926,SEL00287,CH06,1,18.11,3.25,14.86,8.89,2.33,0.13,0.0,12.4,Card,Platform-Fulfilled,Pickup Point,3.7,1,Completed,0,0.0
ORD0000000029,2024-03-21,CUS001283,PRO00639,SEL00245,CH01,2,44.82,6.94,37.88,26.34,0.43,0.27,0.0,37.18,Card,Seller-Fulfilled,Express,2.5,1,Completed,0,0.0
ORD0000000038,2024-08-08,CUS005634,PRO00387,SEL00357,CH03,1,14.23,1.96,12.27,8.49,0.87,0.07,0.0,11.33,PayPal,Seller-Fulfilled,Standard,3.3,1,Completed,0,0.0
ORD0000000040,2024-10-21,CUS006469,PRO00793,SEL00108,CH01,1,77.64,2.5,75.14,49.84,4.61,0.94,0.0,69.59,Card,Seller-Fulfilled,Pickup Point,2.2,1,Completed,0,"0,00"
ORD0000000045,2024-08-04,CUS005871,PRO00537,SEL00141,CH01,1,13.2,1.18,"12,02",7.34,0.74,0.19,5.99,17.08,PayPal,Platform-Fulfilled,Standard,4.7,1,Completed,0,0.0
ORD0000000048,2024-11-08,CUS006964,PRO00073,SEL00135,CH06,2,14.82,1.81,13.01,9.89,0.8,0.11,2.99,"15,09",Card,Platform-Fulfilled,Standard,6.0,1,Completed,0,0.0
ORD0000000051,2024-05-03,CUS001638,PRO00185,SEL00092,CH06,1,16.34,2.62,13.72,"8,34",1.14,0.15,5.99,18.42,Card,Seller-Fulfilled,Standard,3.7,1,Completed,0,0.0
ORD0000000053,2024-06-27,CUS005168,PRO00761,SEL00318,CH04,2,22.9,2.64,20.26,14.2,2.42,0.23,0.0,17.61,Card,Seller-Fulfilled,Standard,6.7,0,Completed,0,0.0
ORD0000000066,2024-12-25,CUS005175,PRO00190,SEL00122,CH01,1,63.11,7.41,55.7,41.68,9.55,0.6,3.99,49.54,Card,Platform-Fulfilled,Standard,6.0,1,Completed,0,0.0
ORD0000000069,2024-10-27,CUS002485,PRO00873,SEL00354,CH03,2,61.98,6.19,"55,79",33.82,7.12,0.6,2.99,51.06,Card,Platform-Fulfilled,Pickup Point,3.9,1,Completed,0,0.0
